"","County","County.Name","Election.District...Precinct","Congressional","Legislative","Office.Name","Office.District","Party","Winner","Early.Votes","Election.Night.Votes","Mail.In.Ballot.1.Votes","Provisional.Votes","Mail.In.Ballot.2.Votes","mail2","full_votes","Gabe Albornoz","Brandy H. M. Brooks","Dana E. Gassaway","Evan Glass","Scott Evan Goldberg","Tom Hucker","Will Jawando","Laurie-Anne Sayles"
"1",16,"Montgomery County","001-001",8,"14","County Council At Large","16","DEM","Y",26,65,41,5,32,32,169,"Gabe Albornoz",NA,NA,NA,NA,NA,NA,NA
"2",16,"Montgomery County","001-001",8,"14","County Council At Large","16","DEM","",8,38,17,1,12,12,76,NA,"Brandy H. M. Brooks",NA,NA,NA,NA,NA,NA
"3",16,"Montgomery County","001-001",8,"14","County Council At Large","16","DEM","",6,30,13,0,8,8,57,NA,NA,"Dana E. Gassaway",NA,NA,NA,NA,NA
"4",16,"Montgomery County","001-001",8,"14","County Council At Large","16","DEM","Y",22,65,39,4,34,34,164,NA,NA,NA,"Evan Glass",NA,NA,NA,NA
"5",16,"Montgomery County","001-001",8,"14","County Council At Large","16","DEM","",11,42,32,3,22,22,110,NA,NA,NA,NA,"Scott Evan Goldberg",NA,NA,NA
"6",16,"Montgomery County","001-001",8,"14","County Council At Large","16","DEM","",14,33,31,2,19,19,99,NA,NA,NA,NA,NA,"Tom Hucker",NA,NA
"7",16,"Montgomery County","001-001",8,"14","County Council At Large","16","DEM","Y",23,62,41,3,29,29,158,NA,NA,NA,NA,NA,NA,"Will Jawando",NA
"8",16,"Montgomery County","001-001",8,"14","County Council At Large","16","DEM","Y",12,62,41,3,25,25,143,NA,NA,NA,NA,NA,NA,NA,"Laurie-Anne Sayles"
"9",16,"Montgomery County","001-002",8,"14","County Council At Large","16","DEM","Y",24,88,75,12,37,37,236,"Gabe Albornoz",NA,NA,NA,NA,NA,NA,NA
"10",16,"Montgomery County","001-002",8,"14","County Council At Large","16","DEM","",16,61,30,1,12,12,120,NA,"Brandy H. M. Brooks",NA,NA,NA,NA,NA,NA
"11",16,"Montgomery County","001-002",8,"14","County Council At Large","16","DEM","",15,58,14,4,5,5,96,NA,NA,"Dana E. Gassaway",NA,NA,NA,NA,NA
"12",16,"Montgomery County","001-002",8,"14","County Council At Large","16","DEM","Y",23,99,71,11,45,45,249,NA,NA,NA,"Evan Glass",NA,NA,NA,NA
"13",16,"Montgomery County","001-002",8,"14","County Council At Large","16","DEM","",19,46,53,5,26,26,149,NA,NA,NA,NA,"Scott Evan Goldberg",NA,NA,NA
"14",16,"Montgomery County","001-002",8,"14","County Council At Large","16","DEM","",16,53,40,4,22,22,135,NA,NA,NA,NA,NA,"Tom Hucker",NA,NA
"15",16,"Montgomery County","001-002",8,"14","County Council At Large","16","DEM","Y",26,92,71,6,42,42,237,NA,NA,NA,NA,NA,NA,"Will Jawando",NA
"16",16,"Montgomery County","001-002",8,"14","County Council At Large","16","DEM","Y",23,90,51,8,25,25,197,NA,NA,NA,NA,NA,NA,NA,"Laurie-Anne Sayles"
"17",16,"Montgomery County","001-003",8,"39","County Council At Large","16","DEM","Y",62,124,131,12,55,55,384,"Gabe Albornoz",NA,NA,NA,NA,NA,NA,NA
"18",16,"Montgomery County","001-003",8,"39","County Council At Large","16","DEM","",42,87,51,5,19,19,204,NA,"Brandy H. M. Brooks",NA,NA,NA,NA,NA,NA
"19",16,"Montgomery County","001-003",8,"39","County Council At Large","16","DEM","",19,68,31,6,17,17,141,NA,NA,"Dana E. Gassaway",NA,NA,NA,NA,NA
"20",16,"Montgomery County","001-003",8,"39","County Council At Large","16","DEM","Y",64,113,127,9,60,60,373,NA,NA,NA,"Evan Glass",NA,NA,NA,NA
"21",16,"Montgomery County","001-003",8,"39","County Council At Large","16","DEM","",29,59,79,4,27,27,198,NA,NA,NA,NA,"Scott Evan Goldberg",NA,NA,NA
"22",16,"Montgomery County","001-003",8,"39","County Council At Large","16","DEM","",32,66,77,6,34,34,215,NA,NA,NA,NA,NA,"Tom Hucker",NA,NA
"23",16,"Montgomery County","001-003",8,"39","County Council At Large","16","DEM","Y",58,125,115,11,50,50,359,NA,NA,NA,NA,NA,NA,"Will Jawando",NA
"24",16,"Montgomery County","001-003",8,"39","County Council At Large","16","DEM","Y",47,117,104,10,41,41,319,NA,NA,NA,NA,NA,NA,NA,"Laurie-Anne Sayles"
"25",16,"Montgomery County","001-004",8,"39","County Council At Large","16","DEM","Y",19,71,50,3,6,6,149,"Gabe Albornoz",NA,NA,NA,NA,NA,NA,NA
"26",16,"Montgomery County","001-004",8,"39","County Council At Large","16","DEM","",6,47,30,4,3,3,90,NA,"Brandy H. M. Brooks",NA,NA,NA,NA,NA,NA
"27",16,"Montgomery County","001-004",8,"39","County Council At Large","16","DEM","",4,56,17,3,0,0,80,NA,NA,"Dana E. Gassaway",NA,NA,NA,NA,NA
"28",16,"Montgomery County","001-004",8,"39","County Council At Large","16","DEM","Y",15,59,44,8,9,9,135,NA,NA,NA,"Evan Glass",NA,NA,NA,NA
"29",16,"Montgomery County","001-004",8,"39","County Council At Large","16","DEM","",12,38,27,0,3,3,80,NA,NA,NA,NA,"Scott Evan Goldberg",NA,NA,NA
"30",16,"Montgomery County","001-004",8,"39","County Council At Large","16","DEM","",6,39,32,5,3,3,85,NA,NA,NA,NA,NA,"Tom Hucker",NA,NA
"31",16,"Montgomery County","001-004",8,"39","County Council At Large","16","DEM","Y",15,68,53,5,8,8,149,NA,NA,NA,NA,NA,NA,"Will Jawando",NA
"32",16,"Montgomery County","001-004",8,"39","County Council At Large","16","DEM","Y",12,77,39,4,5,5,137,NA,NA,NA,NA,NA,NA,NA,"Laurie-Anne Sayles"
"33",16,"Montgomery County","001-005",8,"19","County Council At Large","16","DEM","Y",30,52,65,9,10,10,166,"Gabe Albornoz",NA,NA,NA,NA,NA,NA,NA
"34",16,"Montgomery County","001-005",8,"19","County Council At Large","16","DEM","",19,43,25,3,3,3,93,NA,"Brandy H. M. Brooks",NA,NA,NA,NA,NA,NA
"35",16,"Montgomery County","001-005",8,"19","County Council At Large","16","DEM","",10,37,7,0,3,3,57,NA,NA,"Dana E. Gassaway",NA,NA,NA,NA,NA
"36",16,"Montgomery County","001-005",8,"19","County Council At Large","16","DEM","Y",25,55,64,10,7,7,161,NA,NA,NA,"Evan Glass",NA,NA,NA,NA
"37",16,"Montgomery County","001-005",8,"19","County Council At Large","16","DEM","",17,40,30,4,4,4,95,NA,NA,NA,NA,"Scott Evan Goldberg",NA,NA,NA
"38",16,"Montgomery County","001-005",8,"19","County Council At Large","16","DEM","",14,41,35,6,6,6,102,NA,NA,NA,NA,NA,"Tom Hucker",NA,NA
"39",16,"Montgomery County","001-005",8,"19","County Council At Large","16","DEM","Y",22,59,60,8,8,8,157,NA,NA,NA,NA,NA,NA,"Will Jawando",NA
"40",16,"Montgomery County","001-005",8,"19","County Council At Large","16","DEM","Y",28,60,53,5,11,11,157,NA,NA,NA,NA,NA,NA,NA,"Laurie-Anne Sayles"
"41",16,"Montgomery County","001-006",8,"39","County Council At Large","16","DEM","Y",21,57,44,8,28,28,158,"Gabe Albornoz",NA,NA,NA,NA,NA,NA,NA
